country_code,country,year,sdg_index_score,goal_1_score,goal_2_score,goal_3_score,goal_4_score,goal_5_score,goal_6_score,goal_7_score,goal_8_score,goal_9_score,goal_10_score,goal_11_score,goal_12_score,goal_13_score,goal_14_score,goal_15_score,goal_16_score,goal_17_score
AFG,Afghanistan,2022,49,12.4,46.9,37.5,34.4,32.9,50.4,35.9,39.5,9.7,0,24.5,96.7,99,0,73.2,44.8,45.3
ALB,Albania,2022,73.5,98.6,59.3,81.9,86.8,60.8,73.7,84.3,66.2,43.6,88.1,77.4,81.7,90.6,50.2,79.6,60.7,66.1
DZA,Algeria,2022,70.8,97.7,57.6,77.3,70.1,41,58,65.5,67.5,53.9,97,62.6,89.2,88.6,64.8,67.1,65.3,81.1
AGO,Angola,2022,50.8,33.2,54.8,35.2,44.6,49.7,54.3,43.6,59,13.7,16.5,43.2,94.1,96.3,67.4,66.3,41.6,50.4
ARG,Argentina,2022,73.7,96.8,68.7,81,97.9,82.6,77.9,73,79.2,54.6,41.1,83.4,78.1,88.8,61.7,60,61.7,66.2
ARM,Armenia,2022,73.3,96.3,53.6,77,66.7,68.4,65.6,74.4,73.4,46.7,100,75.6,88.4,91.9,0,61.9,75.6,64.6
AUS,Australia,2022,75.9,99.3,58.4,95.2,89.6,82,93.9,72.2,86.7,92.2,79.2,88.2,52.3,16.9,65.9,62.6,83.1,72.6
AUT,Austria,2022,82.3,99.5,73.1,92.5,97.9,84.6,92.2,86,83.3,97,94.6,92.5,49.6,57.3,0,73.6,87.9,71.1
AZE,Azerbaijan,2022,73.5,100,62.7,72.9,87.7,54.7,66.3,67.8,73.8,41.2,97.5,82.2,86.3,82.7,0,65.7,67.1,76
BHS,"Bahamas, The",2022,60.9,0,63.4,80.7,58,72,48.8,70.8,66.4,57,0,93.8,52.9,68.8,60.1,44.5,52.4,29.4
BHR,Bahrain,2022,63.7,0,66.4,86.8,85.2,52.6,67.9,71.4,81.9,63.7,0,65.7,67.4,14.6,48,45.3,64.7,38.1
BGD,Bangladesh,2022,65.9,79.1,70.8,60.5,89.7,54.5,67.3,49.7,74.6,41,81.3,49.3,95.6,96.3,65.2,53.6,47.6,44.2
BRB,Barbados,2022,69.4,0,56.7,82.5,92.1,72.5,52.4,70.7,69.4,60,0,90.5,55.8,89.6,63.9,63,70.4,73.6
BLR,Belarus,2022,77.5,99.1,63.6,83.6,94.9,79,83.3,70.3,66.6,55.5,100,85,71.1,68.6,0,94.3,61.2,76
