country_code,country,year,sdg_index_score,goal_1_score,goal_2_score,goal_3_score,goal_4_score,goal_5_score,goal_6_score,goal_7_score,goal_8_score,goal_9_score,goal_10_score,goal_11_score,goal_12_score,goal_13_score,goal_14_score,goal_15_score,goal_16_score,goal_17_score
UGA,Uganda,2019,53.6,23.8,66.9,49.2,40.2,64.9,46.8,38,68.2,27.7,39.7,43.9,96.3,99.4,0,62.1,44.9,45.3
UKR,Ukraine,2019,74.3,0,66.3,75.7,91.9,67.6,76,70.7,76.2,41.1,98.7,78.4,84.5,84.8,61.8,79.6,61.9,73.4
ARE,United Arab Emirates,2019,69.5,99.7,64.7,86.5,98.2,74.6,57.9,69.2,66,81.9,100,84.5,49.3,9.8,72.8,56.4,74.3,35
GBR,United Kingdom,2019,81,99,68.5,94,99.2,82.2,94.4,74.8,82.4,91.2,68.4,93.7,54.2,70.4,76,86.2,82.3,60.7
USA,United States,2019,74.9,98.8,68.7,88.8,94.1,74.4,83.6,73.5,82.3,96.4,51.8,92.2,54.3,51,65.7,60.4,69.1,67.5
_UMIC,Upper-middle-income Countries,2019,71.2,92.8,74.2,79.9,92.7,73.9,70.3,69.8,74.8,70.7,31.2,79.4,84.8,84.4,57.4,54,60.8,58.5
URY,Uruguay,2019,77.3,98.5,67.1,85.1,95.9,73.1,75.7,97.5,81.4,57.3,53.7,92.5,70.5,92.6,59.6,58,79.3,76.3
UZB,Uzbekistan,2019,69.4,56.4,67.2,77,77.2,76.4,58.8,63.4,69.9,36.3,71.5,87.3,93,92.8,0,64.8,58.8,59
VEN,"Venezuela, RB",2019,61.6,28.3,51.1,63.2,81.2,67.6,76.3,75.3,75.4,34.9,28.6,54.4,82.6,92.3,80.9,80.1,27.9,46.5
VNM,Vietnam,2019,71.4,95.5,72.2,68.5,97.9,71.3,73.7,68.6,75.6,50.4,70.4,83,89.1,91.9,47.4,41.8,60.4,56.8
_World,World,2019,66,78.5,65.2,70,79.5,61.9,62.2,61.9,73.3,60.4,38.5,66.8,84.9,86.3,61.8,57.4,58.3,55.8
YEM,"Yemen, Rep.",2019,47,10.4,27.9,45,41.8,13.1,35.8,36.6,53.5,14,66.3,48.8,96,98.6,75,49.1,35.5,51.7
ZMB,Zambia,2019,53.4,10.4,58.7,42.8,66.1,65.9,52.6,44.5,66.4,18.9,8.3,57.1,94.9,97.9,0,68.9,45.4,55.3
ZWE,Zimbabwe,2019,53.7,21.4,46,40.6,60.6,77,51.3,39.9,62.8,23.8,24,58.6,94.6,94.2,0,76.4,44,44.5
